iter	Passed	Remaining
719	2004	779
720	2007	776
721	2010	774
722	2013	771
723	2016	768
724	2019	765
725	2022	763
726	2025	760
727	2028	757
728	2031	755
729	2034	752
730	2037	749
731	2039	746
732	2042	743
733	2045	741
734	2048	738
735	2050	735
736	2053	732
737	2055	729
738	2058	726
739	2060	724
740	2063	721
741	2065	718
742	2068	715
743	2070	712
744	2073	709
745	2075	706
746	2078	703
747	2080	700
748	2083	698
749	2086	695
750	2089	692
751	2092	690
752	2095	687
753	2098	684
754	2101	681
755	2104	679
756	2107	676
757	2111	674
758	2114	671
759	2117	668
760	2120	665
761	2122	663
762	2125	660
763	2128	657
764	2131	654
765	2134	652
766	2136	649
767	2139	646
768	2142	643
769	2144	640
770	2146	637
771	2149	634
772	2151	631
773	2153	628
774	2156	626
775	2159	623
776	2162	620
777	2164	617
778	2166	614
779	2169	611
780	2171	608
781	2175	606
782	2178	603
783	2181	601
784	2185	598
785	2188	595
786	2193	593
787	2196	590
788	2199	588
789	2202	585
790	2206	582
791	2209	580
792	2212	577
793	2215	574
794	2218	571
795	2221	569
796	2224	566
797	2227	563
798	2230	561
799	2233	558
800	2235	555
801	2238	552
802	2241	549
803	2243	546
804	2245	544
805	2248	541
806	2250	538
807	2253	535
808	2256	532
809	2258	529
810	2261	526
811	2263	524
812	2266	521
813	2268	518
814	2271	515
815	2273	512
816	2276	509
817	2280	507
818	2282	504
819	2285	501
820	2288	498
821	2291	496
822	2294	493
823	2297	490
824	2300	487
825	2303	485
826	2306	482
827	2309	479
828	2312	477
829	2315	474
830	2318	471
831	2321	468
832	2324	465
833	2326	463
834	2328	460
835	2331	457
836	2334	454
837	2336	451
838	2339	448
839	2342	446
840	2344	443
841	2346	440
842	2349	437
843	2351	434
844	2354	431
845	2356	429
846	2359	426
847	2361	423
848	2363	420
849	2366	417
850	2369	414
851	2372	412
852	2375	409
853	2378	406
854	2381	403
855	2385	401
856	2388	398
857	2391	395
858	2394	393
859	2397	390
860	2401	387
861	2404	384
862	2407	382
863	2410	379
864	2413	376
865	2415	373
866	2418	371
867	2421	368
868	2423	365
869	2426	362
870	2428	359
871	2431	356
872	2434	354
873	2436	351
874	2439	348
875	2441	345
876	2444	342
877	2447	340
878	2449	337
879	2452	334
880	2454	331
881	2457	328
882	2459	325
883	2462	323
884	2464	320
885	2467	317
886	2470	314
887	2473	312
888	2476	309
889	2479	306
890	2482	303
891	2484	300
892	2487	298
893	2490	295
894	2493	292
895	2496	289
896	2499	286
897	2501	284
898	2504	281
899	2507	278
900	2509	275
901	2512	273
902	2515	270
903	2518	267
904	2520	264
905	2523	261
906	2526	259
907	2528	256
908	2531	253
909	2533	250
910	2536	247
911	2538	244
912	2541	242
913	2543	239
914	2545	236
915	2548	233
916	2551	230
917	2553	228
918	2555	225
919	2558	222
920	2561	219
921	2564	216
922	2567	214
923	2570	211
924	2573	208
925	2576	205
926	2579	203
927	2582	200
928	2584	197
929	2587	194
930	2590	191
931	2593	189
932	2596	186
933	2599	183
934	2602	180
935	2604	178
936	2607	175
937	2611	172
938	2613	169
939	2616	166
940	2618	164
941	2621	161
942	2624	158
943	2626	155
944	2629	153
945	2631	150
946	2634	147
947	2636	144
948	2640	141
949	2642	139
950	2644	136
951	2647	133
952	2649	130
953	2652	127
954	2655	125
955	2657	122
956	2668	119
957	2671	117
958	2674	114
959	2676	111
960	2679	108
961	2682	105
962	2684	103
963	2688	100
964	2691	97
965	2694	94
966	2697	92
967	2699	89
968	2702	86
969	2705	83
970	2708	80
971	2710	78
972	2713	75
973	2716	72
974	2718	69
975	2721	66
976	2724	64
977	2726	61
978	2728	58
979	2731	55
980	2733	52
981	2736	50
982	2738	47
983	2741	44
984	2743	41
985	2745	38
986	2748	36
987	2751	33
988	2754	30
989	2757	27
990	2760	25
991	2763	22
992	2766	19
993	2769	16
994	2771	13
995	2774	11
996	2777	8
997	2779	5
998	2782	2
999	2786	0
